#{"t_start": 1697674191.667181, "env_id": "LunarLander-v2"}
r,l,t
11.820609,144,6243.912113
245.918497,228,6243.99639
258.475891,272,6244.093789
227.706626,362,6244.322904
286.464394,275,6244.430241
257.561551,211,6244.496637
32.370931,1000,6245.82131
42.761014,1000,6247.030819
259.135641,229,6357.659597
-32.822766,129,6357.705168
-142.199021,703,6358.354241
254.686804,216,6358.430851
261.872436,177,6358.486079
249.698083,220,6358.557712
-31.542243,154,6358.597384
-43.404024,145,6362.696688
-19.553983,122,6362.723948
222.647194,373,6362.915209
237.773255,325,6363.052176
-15.485057,162,6363.08962
-6.93513,109,6363.113642
276.477357,179,6363.163732
-9.210052,84,6363.180088
-135.765021,1000,6364.682383
157.993633,1000,6366.065206
270.457591,440,6366.34815
212.873102,449,6366.687871
258.4271,232,6366.770884
-16.833128,101,6366.792969
-116.278476,99,6366.812127
243.547481,277,6372.467605
-58.603616,1000,6373.920198
301.524913,339,6374.081768
213.676847,543,6374.334434
231.522478,325,6374.511917
10.860328,1000,6375.972961
295.13262,295,6376.114579
180.245228,433,6376.3824
209.068085,378,6376.637989
282.576413,585,6377.076934
247.822631,203,6377.144474
237.156482,218,6377.221702
173.970576,897,6378.084539
-14.662249,128,6378.111281
233.974373,228,6378.184336
270.364145,323,6382.862218
272.758846,236,6382.955643
-142.120439,1000,6384.172491
-174.035476,399,6384.400298
41.709305,190,6384.463858
216.345056,285,6384.595063
257.670571,343,6384.763863
-144.444325,933,6386.747695
212.247749,322,6386.886109
-56.438168,148,6386.922834
-119.904459,1000,6387.922795
-71.013471,1000,6477.533734
-93.563234,1000,6478.893879
24.892424,201,6478.961013
-135.383491,521,6479.438823
-149.784789,489,6484.656007
-96.345417,221,6484.728563
263.662658,222,6484.803557
206.570305,499,6485.223619
197.914691,445,6485.490746
-42.254609,162,6485.528955
242.056612,403,6485.745113
183.072098,478,6486.195933
255.385419,457,6486.453706
210.846116,516,6486.735805
22.788552,120,6486.764197
-40.750417,106,6486.789513
211.008912,566,6487.1716
-18.624678,120,6487.198106
